name;pin;x;y;orientation;unit;type;ce;visibility;mode;width
~CE0;C6;-900;-200;R;1;I;1;;;
~CE1;D6;-900;-300;R;2;I;1;;;
~CE2;D7;-900;-400;R;4;I;1;;;
~CE3;E7;-900;-500;R;4;I;1;;;
~RE;D4;-900;700;R;1;I;1;;SDR;
~WE;C7;-900;500;R;1;I;1;;SDR;
~WP;C3;-900;400;R;1;I;1;;;
ALE;C4;-900;200;R;1;I;1;;;
CLE;D5;-900;100;R;1;I;1;;;
CLK;H7;-900;0;R;1;I;1;;DDR;
DQ0;H4;900;700;L;1;B;1;;DDR;
DQ1;J4;900;600;L;1;B;1;;DDR;
DQ2;K4;900;500;L;1;B;1;;DDR;
DQ3;K5;900;400;L;1;B;1;;DDR;
DQ4;K6;900;300;L;1;B;1;;DDR;
DQ5;J7;900;200;L;1;B;1;;DDR;
DQ6;K7;900;100;L;1;B;1;;DDR;
DQ7;J8;900;0;L;1;B;1;;DDR;
DQS;J5;-900;-700;R;1;B;1;;DDR;
IO0;H4;900;700;L;1;B;1;;SDR;
IO1;J4;900;600;L;1;B;1;;SDR;
IO2;K4;900;500;L;1;B;1;;SDR;
IO3;K5;900;400;L;1;B;1;;SDR;
IO4;K6;900;300;L;1;B;1;;SDR;
IO5;J7;900;200;L;1;B;1;;SDR;
IO6;K7;900;100;L;1;B;1;;SDR;
IO7;J8;900;0;L;1;B;1;;SDR;
R/~B0;C8;900;-200;L;1;O;1;;;
R/~B1;D8;900;-300;L;1;O;2;;;
R/~B2;E8;900;-400;L;1;O;4;;;
R/~B3;F8;900;-500;L;1;O;4;;;
VCC;D3;200;1200;D;1;W;1;;;
VCC;G4;300;1200;D;1;W;1;;;
VCCQ;H8;-300;1200;D;1;W;1;;;
VCCQ;J6;-200;1200;D;1;W;1;;;
VDDi;F3;-100;1000;D;1;N;1;N;;
VSS;C5;200;-1200;U;1;W;1;;;
VSS;F7;200;-1200;U;1;P;1;N;;
VSSQ;K3;-200;-1200;U;1;W;1;;;
VSSQ;K8;-200;-1200;U;1;P;1;N;;
W/~R;D4;-900;700;R;1;I;1;;DDR;
VSP0;G5;100;1000;D;1;N;1;N;;
VSP1;G8;100;1000;D;1;N;1;N;;
VSP2;G3;100;1000;D;1;N;1;N;;
